Species,Locality,Code,Morph,Collector,Date,Latitude,Longitude,Reads raw,Reads trimmed,Voucher
P. albenensis,"Val d'Ancogno, Italy",AVB,Short-styled,F. Boucher/L. Gallien,24/05/14,9.5714,45.96,7062337,6490010,Photo
P. albenensis,"Val d'Ancogno, Italy",AVL,Long-styled,F. Boucher/L. Gallien,24/05/14,9.5714,45.96,3659789,3235713,Photo
P. allionii*,"St. Dalmas de Tende, France",AS5,NA,G. Casazza,04/2014,7.5905,44.05361,3862555,3424742,YES
P. allionii,"St. Dalmas de Tende, France",AS6,NA,G. Casazza,04/2014,7.5905,44.05361,5275571,4596093,YES
P. allionii,"St. Dalmas de Tende, France",AS2,NA,G. Casazza,04/2014,7.5905,44.05361,6910598,6134197,YES
P. apennina*,"Sella del Marmagna, Italy",AMB,Short-styled,F. Boucher/L. Gallien,30/05/14,10.00575,44.3978,6885928,6486849,Photo
P. apennina,"Monte Marmagna, Italy",AML',Long-styled,F. Boucher/L. Gallien,30/05/14,9.99731,44.39672,1856867,1663377,Photo
P. apennina,"Monte Orsaro, Italy",AOL',Long-styled,F. Boucher/L. Gallien,30/05/14,9.99666,44.39883,3494081,3230296,Photo
P. auricula,"Road from Hirschwang to Kaiserbrunn, Austria",BR1,NA,F. Boucher,06/06/14,15.7994,47.7281,5866503,5616814,YES
P. auricula,"Gorge below Robanov Kot, Slovenia",BK1,NA,F. Boucher,04/06/14,14.7072,46.3983,2922269,2733672,Photo
P. auricula,"Monte Baldo, Naole, Italy",BBB,Short-styled,F. Boucher/L. Gallien,31/05/14,10.81288,45.66026,2434653,2267200,Photo
P. auricula,"Near Lunz, Austria",BLL,NA,F. Boucher,06/06/14,15.05913,47.8685,4692915,4458400,Photo
P. auricula*,"Crucea Alba, Baile Herculane, Romania",BC1,NA,F. Boucher,27/06/14,22.42909,44.8838,7435177,7029409,Photo
P. carniolica,"Kobilji Curek, Slovenia",CC1,NA,F. Boucher/B. Vres,02/06/14,14.5665,45.8348,5735254,5529400,Photo
P. carniolica,"Iski Vintgar, Slovenia",CI1,NA,F. Boucher/B. Vres,02/06/14,14.4929,45.9015,7145894,6883910,Photo
P. carniolica,"Mount Golak, Slovenia",CGB,Short-styled,F. Boucher,03/06/14,13.8697,45.986,3091919,2955866,Photo
P. clusiana,"Hochkar, Austria",CHB,Short-styled,F. Boucher,06/06/14,14.91834,47.71998,2089260,1985196,Photo
